,ori,agency_name,agency_id,state_name,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude,data_year,offense,cleared,actual
80,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2014,violent-crime,3,3
81,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2015,violent-crime,1,2
82,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2016,violent-crime,2,2
83,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2017,violent-crime,0,2
84,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2018,violent-crime,3,7
85,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2019,violent-crime,3,4
86,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2020,violent-crime,0,1
87,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2021,violent-crime,1,2
88,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2022,violent-crime,1,2
89,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2014,violent-crime,8,10
90,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2015,violent-crime,3,6
91,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2016,violent-crime,10,13
92,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2017,violent-crime,10,11
93,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2018,violent-crime,4,5
94,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2019,violent-crime,6,19
95,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2020,violent-crime,4,5
96,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2021,violent-crime,6,10
97,NC0030000,Alleghany County Sheriff's Office,10886,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,County,True,2019-01-01T00:00:00.000Z,36.489356,-81.132299,2022,violent-crime,4,6
98,NC0030100,Sparta Police Department,10887,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,City,False,,36.489356,-81.132299,2013,violent-crime,6,9
99,NC0030100,Sparta Police Department,10887,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,City,False,,36.489356,-81.132299,2014,violent-crime,1,2
100,NC0030200,State Park Rangers: Stone Mountain,10888,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,Other State Agency,True,2019-01-01T00:00:00.000Z,36.382168,-81.02073,2015,violent-crime,0,0
101,NC0030200,State Park Rangers: Stone Mountain,10888,North Carolina,NC,South Atlantic,South,Region III,ALLEGHANY,Other State Agency,True,2019-01-01T00:00:00.000Z,36.382168,-81.02073,2020,violent-crime,0,0
